domainID,siteID,horizontalPosition,verticalPosition,startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF,publicationDate,release
D02,SERC,000,025,2020-05-01T00:00:00Z,2020-05-01T00:30:00Z,100.41489,100.3965,100.4265,9e-05,180,0.01725,0.00069,0,100.85942,0.01757,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T00:30:00Z,2020-05-01T01:00:00Z,100.4545,100.4165,100.4765,0.00025,180,0.01736,0.00119,0,100.89945,0.01767,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T01:00:00Z,2020-05-01T01:30:00Z,100.49495,100.4365,100.51651,0.00055,180,0.01755,0.00174,0,100.94028,0.01786,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T01:30:00Z,2020-05-01T02:00:00Z,100.52734,100.5065,100.54651,5e-05,180,0.01723,0.00055,0,100.97278,0.01755,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T02:00:00Z,2020-05-01T02:30:00Z,100.55412,100.5065,100.59652,0.00064,180,0.01761,0.00188,0,100.9997,0.01791,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T02:30:00Z,2020-05-01T03:00:00Z,100.50878,100.4865,100.55651,0.00028,180,0.01738,0.00126,0,100.95418,0.01769,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T03:00:00Z,2020-05-01T03:30:00Z,100.51717,100.4865,100.55651,0.00013,180,0.01728,0.00085,0,100.96256,0.01759,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T03:30:00Z,2020-05-01T04:00:00Z,100.48178,100.46651,100.49651,8e-05,180,0.01725,0.00066,0,100.92713,0.01756,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T04:00:00Z,2020-05-01T04:30:00Z,100.47289,100.4365,100.49651,0.00025,180,0.01736,0.00117,0,100.91838,0.01767,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T04:30:00Z,2020-05-01T05:00:00Z,100.45194,100.4265,100.4765,0.00021,180,0.01734,0.00108,0,100.89797,0.01764,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T05:00:00Z,2020-05-01T05:30:00Z,100.42255,100.40649,100.4365,7e-05,180,0.01724,0.00062,0,100.86878,0.01755,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T05:30:00Z,2020-05-01T06:00:00Z,100.41027,100.3965,100.4265,7e-05,180,0.01725,0.00063,0,100.85621,0.01755,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T06:00:00Z,2020-05-01T06:30:00Z,100.40722,100.3865,100.4165,9e-05,180,0.01726,0.00072,0,100.85348,0.01757,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T06:30:00Z,2020-05-01T07:00:00Z,100.38288,100.36649,100.40649,0.00025,180,0.01736,0.00117,0,100.82954,0.01767,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T07:00:00Z,2020-05-01T07:30:00Z,100.3681,100.35649,100.37649,4e-05,180,0.01722,0.00046,0,100.81571,0.01753,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T07:30:00Z,2020-05-01T08:00:00Z,100.37399,100.35649,100.3865,0.00012,180,0.01728,0.00083,0,100.82237,0.01758,0,20200704T011649Z,RELEASE-2021
D02,SERC,000,025,2020-05-01T08:00:00Z,2020-05-01T08:30:00Z,100.34983,100.34649,100.36649,3e-05,180,0.01722,0.00039,0,100.7988,0.01752,0,20200704T011649Z,RELEASE-2021
