Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/07/2021
TIME       : 13:07:38
FILENAME   : D:\CSV\CSV\SERC_FGEO_2D_AJ497_210715130738_AJ497.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AJ497  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =SERC_FGEO_2D_AJ497
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-AJ497  219.
  Instrument number       =          UTC-5     
  Location                =SERC_FGEO_2D_AJ497
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:10 21/05/20
  End date / time         =00:00:08 15/07/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 10:00:00,1194.908,11.630
2020/05/21 11:00:00,1194.558,11.630
2020/05/21 12:00:00,1193.742,11.637
2020/05/21 13:00:00,1192.692,11.620
2020/05/21 14:00:00,1192.400,11.630
2020/05/21 15:00:00,1191.117,11.630
2020/05/21 16:00:00,1190.592,11.613
2020/05/21 17:00:00,1189.542,11.620
2020/05/21 18:00:00,1189.425,11.630
2020/05/21 19:00:00,1189.017,11.620
2020/05/21 20:00:00,1188.725,11.630
2020/05/21 21:00:00,1188.375,11.630
2020/05/21 22:00:00,1188.083,11.630
2020/05/21 23:00:00,1188.083,11.620
2020/05/22 00:00:00,1187.675,11.630
2020/05/22 01:00:00,1187.442,11.630
2020/05/22 02:00:00,1186.625,11.643
2020/05/22 03:00:00,1186.275,11.637
2020/05/22 04:00:00,1185.575,11.630
2020/05/22 05:00:00,1184.700,11.630
2020/05/22 06:00:00,1184.175,11.637
2020/05/22 07:00:00,1184.000,11.620
2020/05/22 08:00:00,1183.883,11.643
2020/05/22 09:00:00,1183.475,11.630
2020/05/22 10:00:00,1182.600,11.643
2020/05/22 11:00:00,1182.425,11.637
2020/05/22 12:00:00,1182.075,11.630
2020/05/22 13:00:00,1181.550,11.620
2020/05/22 14:00:00,1181.258,11.643
2020/05/22 15:00:00,1180.617,11.643
2020/05/22 16:00:00,1179.975,11.643
