Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/07/2021
TIME       : 13:07:37
FILENAME   : D:\CSV\CSV\serc_fgeo_1e_aj538_210715130737_AJ538.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AJ538  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =serc_fgeo_1e_aj538
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-AJ538  219.
  Instrument number       =          UTC-5     
  Location                =serc_fgeo_1e_aj538
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:11 21/05/20
  End date / time         =00:00:08 15/07/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 11:00:00,1353.575,11.940
2020/05/21 12:00:00,1352.817,11.950
2020/05/21 13:00:00,1352.408,11.963
2020/05/21 14:00:00,1351.358,11.940
2020/05/21 15:00:00,1350.017,11.963
2020/05/21 16:00:00,1348.792,11.957
2020/05/21 17:00:00,1347.917,11.950
2020/05/21 18:00:00,1347.625,11.950
2020/05/21 19:00:00,1347.333,11.933
2020/05/21 20:00:00,1347.100,11.997
2020/05/21 21:00:00,1347.100,11.980
2020/05/21 22:00:00,1346.692,11.950
2020/05/21 23:00:00,1346.283,11.980
2020/05/22 00:00:00,1346.575,11.963
2020/05/22 01:00:00,1345.642,11.963
2020/05/22 02:00:00,1345.117,11.963
2020/05/22 03:00:00,1345.233,11.963
2020/05/22 04:00:00,1344.417,11.933
2020/05/22 05:00:00,1344.417,11.957
2020/05/22 06:00:00,1344.300,11.950
2020/05/22 07:00:00,1343.892,11.957
2020/05/22 08:00:00,1344.067,11.973
2020/05/22 09:00:00,1343.542,11.933
2020/05/22 10:00:00,1343.367,11.927
2020/05/22 11:00:00,1342.958,11.963
2020/05/22 12:00:00,1342.200,11.950
2020/05/22 13:00:00,1342.433,11.957
2020/05/22 14:00:00,1342.083,11.963
2020/05/22 15:00:00,1341.500,11.987
2020/05/22 16:00:00,1341.150,11.980
2020/05/22 17:00:00,1340.975,11.957
2020/05/22 18:00:00,1340.975,11.950
2020/05/22 19:00:00,1340.858,11.987
2020/05/22 20:00:00,1340.858,11.957
2020/05/22 21:00:00,1341.150,11.973
2020/05/22 22:00:00,1341.383,11.933
2020/05/22 23:00:00,1341.675,11.980
2020/05/23 00:00:00,1341.383,11.987
2020/05/23 01:00:00,1340.742,11.963
2020/05/23 02:00:00,1341.150,11.973
2020/05/23 03:00:00,1341.908,11.997
2020/05/23 04:00:00,1341.675,11.933
2020/05/23 05:00:00,1341.792,11.957
2020/05/23 06:00:00,1342.317,11.957
2020/05/23 07:00:00,1342.725,11.963
2020/05/23 08:00:00,1342.958,11.950
2020/05/23 09:00:00,1342.958,11.980
2020/05/23 10:00:00,1343.542,11.950
2020/05/23 11:00:00,1343.542,11.963
2020/05/23 12:00:00,1342.725,11.957
2020/05/23 13:00:00,1341.500,11.963
2020/05/23 14:00:00,1340.858,11.940
2020/05/23 15:00:00,1340.858,11.980
2020/05/23 16:00:00,1340.625,11.950
2020/05/23 17:00:00,1340.333,11.963
