Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/07/2021
TIME       : 13:07:41
FILENAME   : D:\CSV\CSV\serc_fgeo_3a_AJ568_210715130741_AJ568.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AJ568  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =serc_fgeo_3a_AJ568
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-AJ568  219.
  Instrument number       =          UTC-5     
  Location                =serc_fgeo_3a_AJ568
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:11 21/05/20
  End date / time         =00:00:08 15/07/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 11:00:00,1195.142,11.817
2020/05/21 12:00:00,1194.558,11.810
2020/05/21 13:00:00,1194.558,11.810
2020/05/21 14:00:00,1193.625,11.810
2020/05/21 15:00:00,1192.925,11.810
2020/05/21 16:00:00,1191.992,11.810
2020/05/21 17:00:00,1191.117,11.817
2020/05/21 18:00:00,1191.408,11.810
2020/05/21 19:00:00,1191.583,11.817
2020/05/21 20:00:00,1191.292,11.817
2020/05/21 21:00:00,1191.408,11.833
2020/05/21 22:00:00,1191.292,11.817
2020/05/21 23:00:00,1190.650,11.817
2020/05/22 00:00:00,1190.650,11.833
2020/05/22 01:00:00,1190.242,11.817
2020/05/22 02:00:00,1189.192,11.827
2020/05/22 03:00:00,1188.433,11.827
2020/05/22 04:00:00,1187.675,11.840
2020/05/22 05:00:00,1187.675,11.833
2020/05/22 06:00:00,1187.267,11.833
2020/05/22 07:00:00,1186.975,11.840
2020/05/22 08:00:00,1187.092,11.833
2020/05/22 09:00:00,1186.625,11.827
2020/05/22 10:00:00,1186.333,11.833
2020/05/22 11:00:00,1186.508,11.840
2020/05/22 12:00:00,1186.217,11.827
2020/05/22 13:00:00,1185.925,11.840
2020/05/22 14:00:00,1185.458,11.840
2020/05/22 15:00:00,1185.167,11.840
2020/05/22 16:00:00,1184.408,11.840
2020/05/22 17:00:00,1184.583,11.850
2020/05/22 18:00:00,1184.408,11.840
2020/05/22 19:00:00,1184.408,11.857
2020/05/22 20:00:00,1184.700,11.863
2020/05/22 21:00:00,1184.992,11.863
2020/05/22 22:00:00,1185.167,11.840
2020/05/22 23:00:00,1185.283,11.857
2020/05/23 00:00:00,1184.875,11.873
2020/05/23 01:00:00,1184.700,11.850
2020/05/23 02:00:00,1184.408,11.857
2020/05/23 03:00:00,1185.283,11.857
2020/05/23 04:00:00,1184.583,11.857
2020/05/23 05:00:00,1185.458,11.863
2020/05/23 06:00:00,1185.925,11.863
2020/05/23 07:00:00,1186.217,11.873
2020/05/23 08:00:00,1186.625,11.850
2020/05/23 09:00:00,1186.975,11.873
2020/05/23 10:00:00,1187.092,11.863
2020/05/23 11:00:00,1187.092,11.880
2020/05/23 12:00:00,1186.800,11.873
2020/05/23 13:00:00,1186.217,11.873
2020/05/23 14:00:00,1186.217,11.880
2020/05/23 15:00:00,1186.217,11.880
2020/05/23 16:00:00,1186.333,11.863
2020/05/23 17:00:00,1186.625,11.873
2020/05/23 18:00:00,1186.975,11.880
2020/05/23 19:00:00,1186.975,11.880
2020/05/23 20:00:00,1187.675,11.887
2020/05/23 21:00:00,1188.725,11.903
2020/05/23 22:00:00,1189.950,11.880
2020/05/23 23:00:00,1190.533,11.897
2020/05/24 00:00:00,1192.167,11.887
2020/05/24 01:00:00,1191.992,11.887
2020/05/24 02:00:00,1191.992,11.903
2020/05/24 03:00:00,1192.750,11.903
2020/05/24 04:00:00,1193.333,11.903
2020/05/24 05:00:00,1194.383,11.903
2020/05/24 06:00:00,1194.850,11.903
2020/05/24 07:00:00,1194.967,11.897
2020/05/24 08:00:00,1196.017,11.887
2020/05/24 09:00:00,1196.017,11.903
2020/05/24 10:00:00,1196.192,11.903
2020/05/24 11:00:00,1196.483,11.903
2020/05/24 12:00:00,1196.483,11.903
2020/05/24 13:00:00,1196.192,11.910
2020/05/24 14:00:00,1196.017,11.903
2020/05/24 15:00:00,1196.192,11.903
2020/05/24 16:00:00,1195.608,11.903
2020/05/24 17:00:00,1194.967,11.920
2020/05/24 18:00:00,1195.317,11.933
2020/05/24 19:00:00,1194.850,11.920
2020/05/24 20:00:00,1195.142,11.927
2020/05/24 21:00:00,1195.900,11.927
2020/05/24 22:00:00,1196.483,11.927
2020/05/24 23:00:00,1195.608,11.927
2020/05/25 00:00:00,1195.900,11.933
2020/05/25 01:00:00,1195.433,11.927
2020/05/25 02:00:00,1195.433,11.927
2020/05/25 03:00:00,1195.317,11.910
2020/05/25 04:00:00,1195.317,11.933
2020/05/25 05:00:00,1196.017,11.933
2020/05/25 06:00:00,1196.192,11.933
2020/05/25 07:00:00,1196.483,11.933
2020/05/25 08:00:00,1196.658,11.933
2020/05/25 09:00:00,1196.483,11.943
2020/05/25 10:00:00,1197.358,11.943
2020/05/25 11:00:00,1196.775,11.950
2020/05/25 12:00:00,1197.242,11.933
2020/05/25 13:00:00,1196.775,11.950
2020/05/25 14:00:00,1195.900,11.943
2020/05/25 15:00:00,1195.608,11.933
2020/05/25 16:00:00,1194.850,11.950
2020/05/25 17:00:00,1194.092,11.943
2020/05/25 18:00:00,1194.267,11.950
2020/05/25 19:00:00,1194.092,11.957
2020/05/25 20:00:00,1194.267,11.957
2020/05/25 21:00:00,1194.850,11.950
2020/05/25 22:00:00,1194.558,11.950
2020/05/25 23:00:00,1195.317,11.957
2020/05/26 00:00:00,1195.142,11.950
2020/05/26 01:00:00,1194.675,11.957
2020/05/26 02:00:00,1194.092,11.957
2020/05/26 03:00:00,1194.267,11.957
2020/05/26 04:00:00,1194.675,11.967
2020/05/26 05:00:00,1195.142,11.957
2020/05/26 06:00:00,1196.017,11.967
2020/05/26 07:00:00,1195.900,11.973
2020/05/26 08:00:00,1196.192,11.967
2020/05/26 09:00:00,1196.192,11.980
2020/05/26 10:00:00,1196.308,11.973
2020/05/26 11:00:00,1196.308,11.973
2020/05/26 12:00:00,1195.608,11.967
2020/05/26 13:00:00,1195.900,11.980
2020/05/26 14:00:00,1195.317,11.990
2020/05/26 15:00:00,1194.558,11.973
2020/05/26 16:00:00,1194.267,11.980
2020/05/26 17:00:00,1194.092,11.967
2020/05/26 18:00:00,1193.333,11.990
2020/05/26 19:00:00,1193.625,11.997
2020/05/26 20:00:00,1193.800,11.973
2020/05/26 21:00:00,1193.508,11.980
2020/05/26 22:00:00,1193.217,11.997
2020/05/26 23:00:00,1193.800,11.990
2020/05/27 00:00:00,1193.800,11.990
2020/05/27 01:00:00,1194.092,11.997
2020/05/27 02:00:00,1193.800,11.990
2020/05/27 03:00:00,1194.092,12.020
2020/05/27 04:00:00,1193.800,11.997
2020/05/27 05:00:00,1194.558,12.003
2020/05/27 06:00:00,1194.850,12.003
2020/05/27 07:00:00,1194.967,12.003
2020/05/27 08:00:00,1194.675,12.030
2020/05/27 09:00:00,1194.850,12.003
2020/05/27 10:00:00,1194.850,12.003
2020/05/27 11:00:00,1194.558,12.013
2020/05/27 12:00:00,1193.508,12.013
2020/05/27 13:00:00,1193.508,12.003
2020/05/27 14:00:00,1192.925,12.013
2020/05/27 15:00:00,1192.283,12.030
2020/05/27 16:00:00,1191.992,12.020
2020/05/27 17:00:00,1191.583,12.030
2020/05/27 18:00:00,1191.292,12.030
2020/05/27 19:00:00,1191.583,12.030
2020/05/27 20:00:00,1191.408,12.030
2020/05/27 21:00:00,1191.875,12.030
2020/05/27 22:00:00,1191.700,12.030
2020/05/27 23:00:00,1191.408,12.037
2020/05/28 00:00:00,1191.000,12.030
2020/05/28 01:00:00,1190.533,12.037
2020/05/28 02:00:00,1190.242,12.030
