Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/07/2021
TIME       : 13:07:42
FILENAME   : D:\CSV\CSV\serc_fgeo_4c_aj490_210715130742_AJ490.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AJ490  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =serc_fgeo_4c_aj490
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-AJ490  219.
  Instrument number       =          UTC-5     
  Location                =serc_fgeo_4c_aj490
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =58:57:09 21/05/20
  End date / time         =58:57:07 15/07/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 09:57:58,1048.900,12.570
2020/05/21 10:57:58,1231.192,11.450
2020/05/21 11:57:58,1230.258,11.460
2020/05/21 12:57:58,1229.558,11.460
2020/05/21 13:57:58,1228.800,11.443
2020/05/21 14:57:58,1227.458,11.460
2020/05/21 15:57:58,1226.758,11.450
2020/05/21 16:57:58,1225.825,11.460
2020/05/21 17:57:58,1225.417,11.450
2020/05/21 18:57:58,1225.300,11.450
2020/05/21 19:57:58,1224.892,11.473
2020/05/21 20:57:58,1224.658,11.483
2020/05/21 21:57:58,1224.775,11.483
2020/05/21 22:57:58,1224.483,11.483
2020/05/21 23:57:58,1224.133,11.497
2020/05/22 00:57:58,1223.842,11.497
2020/05/22 01:57:58,1222.908,11.490
2020/05/22 02:57:58,1222.267,11.483
2020/05/22 03:57:58,1221.683,11.473
2020/05/22 04:57:58,1221.683,11.490
2020/05/22 05:57:58,1221.158,11.497
2020/05/22 06:57:58,1220.400,11.490
2020/05/22 07:57:58,1220.517,11.490
2020/05/22 08:57:58,1220.225,11.497
2020/05/22 09:57:58,1219.583,11.490
2020/05/22 10:57:58,1219.175,11.507
2020/05/22 11:57:58,1218.650,11.497
2020/05/22 12:57:58,1218.358,11.507
2020/05/22 13:57:58,1217.600,11.490
2020/05/22 14:57:58,1217.192,11.497
2020/05/22 15:57:58,1216.083,11.497
2020/05/22 16:57:58,1216.258,11.490
2020/05/22 17:57:58,1215.558,11.513
2020/05/22 18:57:58,1215.733,11.497
2020/05/22 19:57:58,1215.150,11.513
2020/05/22 20:57:58,1215.150,11.497
2020/05/22 21:57:58,1215.442,11.497
2020/05/22 22:57:58,1215.442,11.497
2020/05/22 23:57:58,1215.033,11.513
2020/05/23 00:57:58,1214.217,11.507
2020/05/23 01:57:58,1213.867,11.507
2020/05/23 02:57:58,1214.508,11.497
2020/05/23 03:57:58,1213.983,11.507
2020/05/23 04:57:58,1214.392,11.497
2020/05/23 05:57:58,1214.508,11.497
2020/05/23 06:57:58,1214.800,11.513
2020/05/23 07:57:58,1214.508,11.507
2020/05/23 08:57:58,1214.392,11.507
2020/05/23 09:57:58,1214.217,11.507
2020/05/23 10:57:58,1213.867,11.507
2020/05/23 11:57:58,1213.050,11.507
2020/05/23 12:57:58,1212.233,11.513
2020/05/23 13:57:58,1211.067,11.507
2020/05/23 14:57:58,1210.367,11.513
2020/05/23 15:57:58,1210.367,11.507
2020/05/23 16:57:58,1210.133,11.507
2020/05/23 17:57:58,1209.958,11.507
2020/05/23 18:57:58,1209.958,11.513
2020/05/23 19:57:58,1210.367,11.507
2020/05/23 20:57:58,1210.775,11.537
2020/05/23 21:57:58,1211.592,11.520
2020/05/23 22:57:58,1211.825,11.520
2020/05/23 23:57:58,1212.642,11.513
2020/05/24 00:57:58,1212.758,11.507
2020/05/24 01:57:58,1213.050,11.520
2020/05/24 02:57:58,1213.167,11.537
