Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/06/2021
TIME       : 11:12:15
FILENAME   : D:\CSV\CSV\CSV\serc_fgeo_5f_br225_210614111215_BR225.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-BR225  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =serc_fgeo_5f_br225
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-BR225  219.
  Instrument number       =          UTC-5     
  Location                =serc_fgeo_5f_br225
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:10 21/05/20
  End date / time         =00:00:08 14/06/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 10:00:00,1328.258,12.037
2020/05/21 11:00:00,1328.258,11.973
2020/05/21 12:00:00,1327.267,11.983
2020/05/21 13:00:00,1327.092,11.997
2020/05/21 14:00:00,1326.508,11.983
2020/05/21 15:00:00,1325.633,11.990
2020/05/21 16:00:00,1324.467,11.983
2020/05/21 17:00:00,1323.942,11.997
2020/05/21 18:00:00,1324.058,11.990
2020/05/21 19:00:00,1323.942,11.967
2020/05/21 20:00:00,1323.650,11.990
2020/05/21 21:00:00,1323.650,11.997
2020/05/21 22:00:00,1323.650,12.007
2020/05/21 23:00:00,1323.067,11.997
2020/05/22 00:00:00,1322.892,12.007
2020/05/22 01:00:00,1322.017,11.997
2020/05/22 02:00:00,1321.433,11.983
2020/05/22 03:00:00,1320.850,11.990
2020/05/22 04:00:00,1320.150,12.007
2020/05/22 05:00:00,1319.683,11.997
2020/05/22 06:00:00,1319.392,11.990
2020/05/22 07:00:00,1319.100,12.007
2020/05/22 08:00:00,1319.100,11.990
2020/05/22 09:00:00,1318.692,11.990
2020/05/22 10:00:00,1317.933,12.007
2020/05/22 11:00:00,1317.933,12.007
2020/05/22 12:00:00,1317.058,11.990
2020/05/22 13:00:00,1316.825,11.990
2020/05/22 14:00:00,1316.242,11.990
2020/05/22 15:00:00,1315.950,11.990
2020/05/22 16:00:00,1315.075,11.997
