Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/06/2021
TIME       : 11:12:16
FILENAME   : D:\CSV\CSV\CSV\serc_fgeo_6b_AJ638_210614111216_AJ638.CSV
CREATED BY : Diver-Office 11.1.0.4
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-AJ638  219.
  Instrument number       =          UTC-5     
                          =0
  Location                =serc_fgeo_6b_AJ638
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-AJ638  219.
  Instrument number       =          UTC-5     
  Location                =serc_fgeo_6b_AJ638
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:11 21/05/20
  End date / time         =00:00:08 14/06/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2020/05/21 11:00:00,1179.683,12.010
2020/05/21 12:00:00,1179.100,11.987
2020/05/21 13:00:00,1178.575,11.977
2020/05/21 14:00:00,1178.167,11.977
2020/05/21 15:00:00,1176.767,11.987
2020/05/21 16:00:00,1175.833,11.977
2020/05/21 17:00:00,1175.425,11.987
2020/05/21 18:00:00,1175.308,11.977
2020/05/21 19:00:00,1175.542,11.987
2020/05/21 20:00:00,1175.308,11.977
2020/05/21 21:00:00,1175.542,11.977
2020/05/21 22:00:00,1175.542,11.987
2020/05/21 23:00:00,1175.192,12.000
2020/05/22 00:00:00,1175.308,11.993
2020/05/22 01:00:00,1175.133,11.993
2020/05/22 02:00:00,1174.492,12.000
2020/05/22 03:00:00,1174.083,11.987
2020/05/22 04:00:00,1173.383,12.017
2020/05/22 05:00:00,1174.608,11.987
2020/05/22 06:00:00,1174.900,12.017
2020/05/22 07:00:00,1174.900,11.987
2020/05/22 08:00:00,1177.350,12.010
2020/05/22 09:00:00,1180.617,12.010
2020/05/22 10:00:00,1184.992,12.000
2020/05/22 11:00:00,1183.650,12.010
2020/05/22 12:00:00,1182.250,12.000
2020/05/22 13:00:00,1181.433,12.010
2020/05/22 14:00:00,1180.383,12.010
2020/05/22 15:00:00,1179.567,12.017
2020/05/22 16:00:00,1178.867,12.017
2020/05/22 17:00:00,1178.283,12.000
2020/05/22 18:00:00,1178.167,12.023
2020/05/22 19:00:00,1177.642,12.017
2020/05/22 20:00:00,1177.875,12.033
2020/05/22 21:00:00,1177.642,12.023
2020/05/22 22:00:00,1177.642,12.017
2020/05/22 23:00:00,1177.350,12.017
2020/05/23 00:00:00,1177.058,12.023
2020/05/23 01:00:00,1176.825,12.017
2020/05/23 02:00:00,1176.125,12.023
2020/05/23 03:00:00,1184.467,12.033
2020/05/23 04:00:00,1192.108,12.050
2020/05/23 05:00:00,1190.358,12.040
2020/05/23 06:00:00,1189.133,12.033
2020/05/23 07:00:00,1188.025,12.040
2020/05/23 08:00:00,1187.325,12.040
2020/05/23 09:00:00,1186.508,12.050
2020/05/23 10:00:00,1185.575,12.050
2020/05/23 11:00:00,1184.875,12.050
2020/05/23 12:00:00,1183.942,12.050
2020/05/23 13:00:00,1182.542,12.057
2020/05/23 14:00:00,1181.025,12.057
2020/05/23 15:00:00,1180.792,12.050
2020/05/23 16:00:00,1180.092,12.057
2020/05/23 17:00:00,1180.208,12.057
2020/05/23 18:00:00,1179.975,12.057
2020/05/23 19:00:00,1180.092,12.057
2020/05/23 20:00:00,1180.500,12.073
2020/05/23 21:00:00,1181.200,12.073
2020/05/23 22:00:00,1182.017,12.073
2020/05/23 23:00:00,1182.017,12.080
2020/05/24 00:00:00,1182.950,12.063
2020/05/24 01:00:00,1183.242,12.073
2020/05/24 02:00:00,1183.358,12.073
2020/05/24 03:00:00,1183.650,12.080
2020/05/24 04:00:00,1184.058,12.087
2020/05/24 05:00:00,1184.992,12.080
2020/05/24 06:00:00,1185.575,12.080
2020/05/24 07:00:00,1185.575,12.087
2020/05/24 08:00:00,1186.217,12.073
2020/05/24 09:00:00,1186.392,12.087
2020/05/24 10:00:00,1186.625,12.080
2020/05/24 11:00:00,1186.100,12.080
2020/05/24 12:00:00,1185.808,12.087
2020/05/24 13:00:00,1185.692,12.080
2020/05/24 14:00:00,1185.400,12.080
2020/05/24 15:00:00,1185.283,12.087
2020/05/24 16:00:00,1184.583,12.087
2020/05/24 17:00:00,1183.942,12.087
2020/05/24 18:00:00,1184.175,12.087
2020/05/24 19:00:00,1184.058,12.087
2020/05/24 20:00:00,1184.467,12.097
2020/05/24 21:00:00,1184.758,12.110
2020/05/24 22:00:00,1184.992,12.110
2020/05/24 23:00:00,1184.758,12.103
2020/05/25 00:00:00,1184.583,12.110
2020/05/25 01:00:00,1184.058,12.110
2020/05/25 02:00:00,1184.350,12.110
2020/05/25 03:00:00,1184.058,12.110
2020/05/25 04:00:00,1184.058,12.110
2020/05/25 05:00:00,1184.467,12.110
2020/05/25 06:00:00,1184.583,12.110
2020/05/25 07:00:00,1184.875,12.110
2020/05/25 08:00:00,1184.758,12.110
2020/05/25 09:00:00,1184.583,12.103
2020/05/25 10:00:00,1184.583,12.110
2020/05/25 11:00:00,1184.758,12.110
2020/05/25 12:00:00,1184.583,12.120
2020/05/25 13:00:00,1183.942,12.120
2020/05/25 14:00:00,1183.125,12.127
2020/05/25 15:00:00,1182.133,12.133
2020/05/25 16:00:00,1181.608,12.110
2020/05/25 17:00:00,1180.617,12.127
2020/05/25 18:00:00,1180.500,12.133
2020/05/25 19:00:00,1180.500,12.143
2020/05/25 20:00:00,1181.200,12.133
2020/05/25 21:00:00,1181.608,12.127
2020/05/25 22:00:00,1181.725,12.133
2020/05/25 23:00:00,1181.842,12.143
2020/05/26 00:00:00,1182.017,12.133
2020/05/26 01:00:00,1181.725,12.143
2020/05/26 02:00:00,1181.433,12.143
2020/05/26 03:00:00,1181.433,12.133
2020/05/26 04:00:00,1181.317,12.143
2020/05/26 05:00:00,1181.842,12.157
2020/05/26 06:00:00,1182.250,12.150
2020/05/26 07:00:00,1182.425,12.150
2020/05/26 08:00:00,1182.833,12.143
2020/05/26 09:00:00,1182.250,12.157
2020/05/26 10:00:00,1182.542,12.150
2020/05/26 11:00:00,1182.250,12.157
2020/05/26 12:00:00,1181.725,12.157
2020/05/26 13:00:00,1180.792,12.150
2020/05/26 14:00:00,1179.800,12.173
2020/05/26 15:00:00,1179.158,12.167
2020/05/26 16:00:00,1178.983,12.167
2020/05/26 17:00:00,1178.575,12.173
2020/05/26 18:00:00,1178.458,12.180
2020/05/26 19:00:00,1178.458,12.167
2020/05/26 20:00:00,1178.750,12.167
2020/05/26 21:00:00,1178.575,12.173
2020/05/26 22:00:00,1178.983,12.167
2020/05/26 23:00:00,1179.392,12.190
2020/05/27 00:00:00,1179.392,12.180
2020/05/27 01:00:00,1179.275,12.180
2020/05/27 02:00:00,1179.392,12.173
2020/05/27 03:00:00,1179.567,12.180
2020/05/27 04:00:00,1179.567,12.190
2020/05/27 05:00:00,1180.092,12.190
2020/05/27 06:00:00,1180.383,12.203
2020/05/27 07:00:00,1180.617,12.190
2020/05/27 08:00:00,1180.383,12.197
2020/05/27 09:00:00,1180.617,12.190
2020/05/27 10:00:00,1179.975,12.203
2020/05/27 11:00:00,1179.392,12.203
2020/05/27 12:00:00,1178.458,12.203
2020/05/27 13:00:00,1178.283,12.197
2020/05/27 14:00:00,1177.233,12.213
2020/05/27 15:00:00,1176.242,12.220
2020/05/27 16:00:00,1176.008,12.213
2020/05/27 17:00:00,1175.308,12.197
2020/05/27 18:00:00,1175.600,12.197
2020/05/27 19:00:00,1175.308,12.203
2020/05/27 20:00:00,1175.833,12.203
2020/05/27 21:00:00,1175.833,12.213
2020/05/27 22:00:00,1176.008,12.203
2020/05/27 23:00:00,1176.008,12.227
2020/05/28 00:00:00,1176.008,12.213
2020/05/28 01:00:00,1175.717,12.227
2020/05/28 02:00:00,1175.600,12.227
2020/05/28 03:00:00,1175.017,12.227
2020/05/28 04:00:00,1175.308,12.227
2020/05/28 05:00:00,1175.192,12.243
2020/05/28 06:00:00,1175.308,12.243
2020/05/28 07:00:00,1175.600,12.237
2020/05/28 08:00:00,1177.467,12.243
2020/05/28 09:00:00,1177.350,12.243
2020/05/28 10:00:00,1177.642,12.250
2020/05/28 11:00:00,1177.233,12.243
2020/05/28 12:00:00,1177.233,12.260
2020/05/28 13:00:00,1176.242,12.250
2020/05/28 14:00:00,1176.125,12.243
2020/05/28 15:00:00,1175.717,12.260
2020/05/28 16:00:00,1175.192,12.260
2020/05/28 17:00:00,1174.608,12.267
2020/05/28 18:00:00,1174.783,12.267
2020/05/28 19:00:00,1174.492,12.267
2020/05/28 20:00:00,1174.375,12.273
2020/05/28 21:00:00,1175.017,12.273
2020/05/28 22:00:00,1175.017,12.260
2020/05/28 23:00:00,1175.308,12.267
2020/05/29 00:00:00,1175.308,12.290
2020/05/29 01:00:00,1175.017,12.283
2020/05/29 02:00:00,1175.017,12.273
2020/05/29 03:00:00,1174.900,12.283
2020/05/29 04:00:00,1174.900,12.273
2020/05/29 05:00:00,1174.900,12.273
2020/05/29 06:00:00,1175.017,12.290
2020/05/29 07:00:00,1174.900,12.290
2020/05/29 08:00:00,1174.900,12.307
2020/05/29 09:00:00,1174.083,12.290
2020/05/29 10:00:00,1173.500,12.300
2020/05/29 11:00:00,1173.383,12.300
2020/05/29 12:00:00,1172.275,12.307
2020/05/29 13:00:00,1171.050,12.307
2020/05/29 14:00:00,1170.117,12.307
2020/05/29 15:00:00,1168.892,12.300
2020/05/29 16:00:00,1168.483,12.307
2020/05/29 17:00:00,1167.900,12.307
2020/05/29 18:00:00,1168.308,12.307
2020/05/29 19:00:00,1168.192,12.307
2020/05/29 20:00:00,1167.667,12.323
2020/05/29 21:00:00,1167.900,12.313
2020/05/29 22:00:00,1168.483,12.323
2020/05/29 23:00:00,1168.600,12.323
2020/05/30 00:00:00,1168.483,12.323
2020/05/30 01:00:00,1168.717,12.330
2020/05/30 02:00:00,1168.308,12.337
2020/05/30 03:00:00,1168.600,12.323
2020/05/30 04:00:00,1168.892,12.347
2020/05/30 05:00:00,1169.533,12.337
2020/05/30 06:00:00,1169.417,12.337
2020/05/30 07:00:00,1169.825,12.347
2020/05/30 08:00:00,1170.408,12.353
2020/05/30 09:00:00,1169.533,12.353
2020/05/30 10:00:00,1169.008,12.347
2020/05/30 11:00:00,1168.600,12.347
2020/05/30 12:00:00,1167.783,12.347
2020/05/30 13:00:00,1166.967,12.353
2020/05/30 14:00:00,1166.150,12.353
2020/05/30 15:00:00,1165.625,12.360
2020/05/30 16:00:00,1165.333,12.360
2020/05/30 17:00:00,1164.633,12.360
2020/05/30 18:00:00,1164.633,12.360
2020/05/30 19:00:00,1165.333,12.353
2020/05/30 20:00:00,1165.858,12.360
2020/05/30 21:00:00,1166.675,12.370
2020/05/30 22:00:00,1166.967,12.360
2020/05/30 23:00:00,1167.083,12.370
2020/05/31 00:00:00,1167.783,12.377
2020/05/31 01:00:00,1167.900,12.383
2020/05/31 02:00:00,1168.600,12.383
2020/05/31 03:00:00,1169.008,12.393
2020/05/31 04:00:00,1169.708,12.393
2020/05/31 05:00:00,1170.408,12.393
2020/05/31 06:00:00,1171.458,12.393
2020/05/31 07:00:00,1172.042,12.383
2020/05/31 08:00:00,1172.158,12.400
2020/05/31 09:00:00,1171.867,12.393
2020/05/31 10:00:00,1171.633,12.400
2020/05/31 11:00:00,1170.933,12.383
2020/05/31 12:00:00,1170.408,12.407
2020/05/31 13:00:00,1169.417,12.417
2020/05/31 14:00:00,1168.892,12.417
2020/05/31 15:00:00,1168.483,12.417
2020/05/31 16:00:00,1168.192,12.423
2020/05/31 17:00:00,1167.667,12.417
2020/05/31 18:00:00,1167.375,12.407
2020/05/31 19:00:00,1168.192,12.417
2020/05/31 20:00:00,1168.717,12.430
2020/05/31 21:00:00,1169.533,12.417
2020/05/31 22:00:00,1170.233,12.423
2020/05/31 23:00:00,1170.817,12.423
2020/06/01 00:00:00,1171.458,12.423
2020/06/01 01:00:00,1171.867,12.423
2020/06/01 02:00:00,1172.683,12.423
2020/06/01 03:00:00,1173.092,12.430
2020/06/01 04:00:00,1173.908,12.430
2020/06/01 05:00:00,1173.908,12.447
2020/06/01 06:00:00,1174.900,12.453
2020/06/01 07:00:00,1175.425,12.430
2020/06/01 08:00:00,1175.833,12.430
2020/06/01 09:00:00,1175.017,12.453
2020/06/01 10:00:00,1174.200,12.453
2020/06/01 11:00:00,1173.092,12.463
2020/06/01 12:00:00,1171.867,12.453
2020/06/01 13:00:00,1170.525,12.470
2020/06/01 14:00:00,1169.825,12.453
2020/06/01 15:00:00,1169.008,12.453
2020/06/01 16:00:00,1168.075,12.470
2020/06/01 17:00:00,1167.667,12.463
2020/06/01 18:00:00,1166.850,12.470
2020/06/01 19:00:00,1167.258,12.470
2020/06/01 20:00:00,1167.258,12.470
2020/06/01 21:00:00,1168.308,12.477
2020/06/01 22:00:00,1168.308,12.487
2020/06/01 23:00:00,1168.192,12.487
2020/06/02 00:00:00,1167.900,12.487
2020/06/02 01:00:00,1167.667,12.470
2020/06/02 02:00:00,1167.083,12.487
